"2017-02-17","Ciências da Saúde","“Revista de Terapia Ocupacional” lança novo número","Publicação quadrimestral da Faculdade de Medicina traz trabalhos inéditos da área","Faculdade de MedicinaRevista de Terapia OcupacionalSaúdeTerapia Ocupacional","http://jornal.usp.br/ciencias/ciencias-da-saude/revista-de-terapia-ocupacional-lanca-novo-numero/"
"2017-02-15","Ciências Biológicas","Evento apresenta o Centro de Facilidades para a Pesquisa","Alunos de pós-graduação e iniciação científica poderão conhecer as instalações e atividades do centro no ICB","Centro de Facilidades para a PesquisaFaculdade de Ciências FarmacêuticasFaculdade de Medicina Veterinária e ZootecniaInstituto de Ciências Biomédicas","http://jornal.usp.br/ciencias/ciencias-biologicas/instituto-de-ciencias-biomedicas-promove-evento-para-estudantes/"
"2017-02-14","Ciências da Saúde","Revista de enfermagem discute cobertura universal da saúde","Periódico ressalta a importância da enfermagem para resolução de metas da ONU","EERPEscola de Enfermagem de Ribeirão PretoRevista Latino-Americana de EnfermagemRLAE","http://jornal.usp.br/ciencias/ciencias-da-saude/revista-de-enfermagem-discute-cobertura-universal-da-saude/"
"2017-02-14","Ciências da Saúde","“Journal of Applied Oral Science” lança nova edição","Periódico editado pela Faculdade de Odontologia de Bauru publica artigos em inglês sobre avanços na área odontológica","Faculdade de Odontologia de BauruJournal of Applied Oral ScienceOdontologiaPeriódicoSaúde","http://jornal.usp.br/ciencias/ciencias-da-saude/journal-of-applied-oral-science-lanca-nova-edicao/"
"2017-02-14","Ciências da Saúde","Dieta materna influencia reprogramação do DNA do feto","Pesquisa confirma ação de dieta materna sobre função genética do filho relacionada a doenças cardiovasculares e diabete","ácido fólicodiabetedoenças cardiovascularesFMRPgenéticanutrologiareprogramação epigenética","http://jornal.usp.br/ciencias/ciencias-da-saude/dieta-materna-influencia-reprogramacao-do-dna-do-feto/"
"2017-02-14","Tecnologia","Novo dispositivo óptico usa cristal líquido e é inspirado em besouro","Instituto de Física e Universidade Nova de Lisboa desenvolvem estrutura visando à comunicação ultrarrápida via luz","Advanced MaterialsIFInstituto de FísicaUniversidade Nova de Lisboa","http://jornal.usp.br/ciencias/tecnologia/novo-dispositivo-optico-usa-cristal-liquido-inspirado-em-besouro/"
"2017-02-14","Ciências da Saúde","Exoesqueleto têxtil auxilia indivíduos a caminharem com mais eficiência","Vestimenta robótica foi desenvolvida para fins militares e pessoas com mobilidade reduzida","Acidente Vascular CerebralExoesqueleto RobóticoExoesqueleto TêxtilFMRP","http://jornal.usp.br/ciencias/ciencias-da-saude/exoesqueleto-textil-auxilia-individuos-a-caminharem-com-mais-eficiencia/"
"2017-02-13","Ciências da Saúde","Placenta no início da gravidez é mais sensível à infecção por zika","Células da placenta nos três primeiros meses de gravidez possuem receptores que facilitam a entrada do vírus","gestaçãoInstituto ButantanIQMicrocefaliaplacentaSão Paulovírus zika","http://jornal.usp.br/ciencias/ciencias-da-saude/placenta-no-inicio-da-gravidez-e-mais-sensivel-a-infeccao-por-zika/"
"2017-02-13","Ciências Exatas e da Terra","Parceria com Petrobras põe academia e indústria nos mesmos trilhos","Vínculo entre laboratório da USP e centro da Petrobras multiplica conhecimento e gera tecnologia para exploração de petróleo","CenpeIFSCInstituto de Física de São CarlosLaboratório de Espectroscopia de Alta Resolução por Ressonância MagnéticaLearpetrobraspetróleoSão Carlos","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/parceria-com-petrobras-poe-academia-e-industria-nos-mesmos-trilhos/"
"2017-02-10","Ciências Exatas e da Terra","Software indica os clientes com potencial de bons pagadores","Software que otimiza decisões para sistemas financeiros já pode ser comercializado para empresas de cobrança","TecnologiaCentro de Ciências Matemáticas Aplicadas à IndústriaInstituto de Ciências Matemáticas e de ComputaçãoMestrado Profissional em Matemática Estatística e Computação Aplicadas à Indústriapesquisasoftwaretecnologia","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/pesquisa-de-mestrado-otimiza-decisoes-para-sistemas-financeiros/"
"2017-02-10","Ciências Biológicas","Estudo revela papel dos nervos simpáticos para saúde muscular","O papel do sistema nervoso simpático no tecido muscular vai muito além de controlar o fluxo sanguíneo","Ciências da SaúdeFaculdade de Medicina de Ribeirão PretofisiologiaFMRPIsis do Carmo KettelhutLuiz Carlos Carvalho NavegantesMedicinaNervos simpáticosSaúde muscular","http://jornal.usp.br/ciencias/ciencias-biologicas/estudo-revela-papel-dos-nervos-simpaticos-para-saude-muscular/"
"2017-02-10","Ciências Biológicas","Boletim sobre veterinária discute bem-estar de animais de produção","Publicação mensal da Faculdade de Medicina Veterinária e Zootecnia sugere leituras e eventos sobre este e outros assuntos","Boletim FMVZFaculdade de Medicina Veterinária e ZootecniaFMVZSocioeconomia & Ciência Animal","http://jornal.usp.br/ciencias/ciencias-biologicas/boletim-sobre-veterinaria-discute-bem-estar-de-animais-de-producao/"
"2017-02-09","Ciências Ambientais","Não há nível de desmatamento seguro para o clima na Amazônia","Destruição da floresta interfere no transporte da umidade entre o oceano e o continente, alterando chuvas","AmazôniaAmérica do SulchuvasClimaIFRedes ComplexasSão Paulosistemas dinâmicos","http://jornal.usp.br/ciencias/ciencias-ambientais/nao-ha-nivel-de-desmatamento-seguro-para-o-clima-na-amazonia/"
"2017-02-09","Ciências","“Revista de História da Ciência” lança nova edição","Publicação reúne artigos de todas as áreas do conhecimento que registrem a trajetória da ciência","Centro Interunidades de História da CiênciaHistória da CiênciaKhronos — Revista de História da Ciência","http://jornal.usp.br/ciencias/revista-de-historia-da-ciencia-lanca-nova-edicao/"
"2017-02-07","Tecnologia","Evento na Poli apresentou avanços em tecnologia adaptativa","Softwares adaptativos podem mudar a função ou o comando original de outros para que eles obtenham melhor desempenho","AdaptatividadeDepartamento de Engenharia de Computação e Sistemas DigitaisEPUSPEscola PolitécnicaPCSPoliWorkshop de Tecnologia AdaptativaWTA","http://jornal.usp.br/ciencias/tecnologia/evento-na-poli-apresentou-avancos-em-tecnologia-adaptativa/"
"2017-02-07","Ciências da Saúde","Semente de jabuticaba é poderosa aliada na prevenção da obesidade","Caroço da fruta é rico em elagitaninos, substâncias que possuem ação anti-inflamatória e são eficazes contra a obesidade","Compostos FenólicosElagitaninosFaculdade de Ciências FarmacêuticasFCFJabuticabaObesidade","http://jornal.usp.br/ciencias/ciencias-da-saude/semente-de-jabuticaba-e-poderosa-aliada-na-prevencao-da-obesidade/"
"2017-02-07","Ciências da Saúde","“Revista Brasileira de Educação Física e Esporte” publica novo número","Edição traz artigos sobre modalidades de treinamento e análises socioculturais e pedagógicas da educação física","Educação FísicaEscola de Educação Física e EsporteEsporteRevista Brasileira de Educação Física e Esporte","http://jornal.usp.br/ciencias/ciencias-da-saude/treinamento-atletico-e-discutido-em-novo-numero-da-revista-brasileira-de-educacao-fisica-e-esporte/"
"2017-02-06","Ciências Ambientais","Paulo Artaxo Netto é vencedor do Prêmio Faz Diferença","Pesquisador do Instituto de Física venceu premiação do jornal <em>O Globo</em> na categoria Sociedade/Sustentabilidade","AmazôniaFloresta AmazônicaInstituto de Físicamudanças climáticasNatureO GloboOrganização das Nações UnidaspesquisaPoluição Atmosféricaprêmio Faz Diferença 2016","http://jornal.usp.br/ciencias/ciencias-ambientais/paulo-artaxo-netto-e-vencedor-do-premio-faz-diferenca/"
"2017-02-06","Ciências Ambientais","Estação centenária registra aumento da temperatura no interior","Posto Meteorológico da Esalq, em Piracicaba, mostra aumento de 1,5°C no último século e completa 100 anos de atividade","EsalqEscola Superior de Agricultura Luiz de QueirozPosto Meteorológico da Esalqtemperatura","http://jornal.usp.br/ciencias/ciencias-ambientais/estacao-centenaria-registra-aumento-da-temperatura-no-interior/"
"2017-02-04","Ciências Exatas e da Terra","Inscrições abertas para prêmio de melhor tese em matemática","Iniciativa anual do Instituto de Ciências Matemáticas e de Computação é válida para trabalhos defendidos em 2016","Instituto de Ciências Matemáticas e de ComputaçãoMatemáticaPrêmioSão CarlosTese de doutorado","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/inscricoes-abertas-para-premio-de-melhor-tese-em-matematica/"
"2017-02-03","Ciências Exatas e da Terra","Curso de verão divulga pesquisas do Instituto de Física","Evento busca auxiliar estudantes em suas carreiras na pesquisa","curso de verãoescola de verãoIFInstituto de FísicaPaulo Artaxo","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/curso-de-verao-divulga-pesquisas-do-instituto-de-fisica/"
